(7.57121,3.15267)
(5.52533,8.27418)
(8.7058,6.7293)
(9.26571,0.363758)
(4.07466,4.79619)
(5.77565,9.10203)
(2.94316,3.67888)
(0.144761,9.96302)
(8.7996,0.317054)
(4.35513,4.91952)
(5.44832,2.02327)
(2.91639,9.37853)
(7.39256,7.70377)
(7.39291,8.68313)
(8.0921,4.3666)
(5.77681,9.55143)
(1.57824,7.05061)
(3.7754,3.45896)
(2.44338,2.83439)
(0.82397,1.63606)
(4.00028,2.85629)
(9.4867,2.33796)
(2.79477,1.28485)
(2.85943,1.09877)
(3.17866,2.38936)
(5.74358,1.32404)
(7.63939,7.15335)
(2.24931,3.20824)
(4.4741,4.37971)
(0.544465,1.65307)
(6.11058,7.93391)
(9.18776,4.76663)
(0.979131,8.07944)
(7.21357,3.70168)
(0.368044,1.91442)
(7.04053,3.70993)
(7.914,4.34324)
(4.5716,5.79573)
(0.287984,2.95692)
(1.18102,0.00629434)
(2.4714,6.41814)
(9.98594,6.92358)
(7.84931,9.72029)
(0.722537,4.77815)
(4.16512,0.0734556)
(2.57986,2.16469)
(2.55152,8.15378)
(5.79755,0.74601)
(5.70777,6.93708)
(7.35107,5.37356)
(7.20766,1.70773)
(9.45797,1.16827)
(8.24674,2.78029)
(2.75363,9.98203)
(0.381014,6.76173)
(4.25067,7.68753)
(1.23441,0.419718)
(4.1542,7.39691)
(2.72586,7.08312)
(4.01829,6.76159)
(7.17379,3.98455)
(8.44026,3.22007)
(5.91369,7.37064)
(8.25945,5.14368)
(8.77646,3.04894)
(1.68251,9.94944)
(3.03778,2.72734)
(2.45864,6.01714)
(9.65701,0.997825)
(4.59708,9.71296)
(0.328044,7.69088)
(6.75954,7.69439)
(8.9958,5.73453)
(5.78331,5.34778)
(5.67008,3.42986)
(4.14726,8.646)
(5.98756,6.05096)
(4.14125,9.34059)
(3.54759,3.35154)
(1.76447,6.91782)
(2.12478,7.4996)
(3.60432,0.203983)
(8.86761,3.76644)
(3.9404,1.11516)
(2.32587,0.572751)
(0.803054,5.93343)
(1.49151,7.42368)
(5.04529,3.42371)
(4.84013,6.59693)
(5.1355,6.14652)
(7.31937,7.23558)
(2.72324,3.95026)
(8.34419,3.50533)
(6.79584,7.07914)
(2.58135,8.7853)
(4.20645,3.11668)
(0.62493,6.9914)
(6.96159,8.3686)
(8.84744,3.37888)
(0.0275974,4.50326)
(1.19438,6.54189)
(1.39174,1.13802)
(5.29777,8.10603)
(0.602333,9.78542)
(7.17714,2.65018)
(1.61368,1.37946)
(2.8912,3.65427)
(7.88886,8.2372)
(8.23301,5.48245)
(1.84678,7.13988)
(0.710029,4.88063)
(0.934621,8.27305)
(0.777345,9.46646)
(2.8704,5.46689)
(1.28404,1.93604)
(7.26704,3.88145)
(3.66325,3.92311)
(1.50984,9.63253)
(2.6096,8.45777)
(7.92651,9.84898)
(5.52506,8.51103)
(3.10321,2.18503)
(9.86096,5.0913)
(1.2628,8.01539)
(1.66495,0.882664)
(8.58416,4.37491)
(9.48972,0.853206)
